Num,Name,year,month,day,MA,perih,node,i,e,a,H0,G,Dia,DiaSrc,PEU/POS_1sigma,#Rings,#Moons,OrbSrc,OrbDate,Class,DiaUncert,ErrorMajor,ErrorMinor,ErrorMajorPA
1717,Arlon,2025,2,11,326.6937975231,116.3870434056,340.4026277284,6.1908460608,0.129390599760,2.195749736821,12.42,0.15,8.6,M,0.0010,0,1,JPL#95,2024-Dec-12,Binary,0.8,0.00090,0.00013,63.1
1727,Mette,2025,2,11,303.3723233174,313.2051311772,132.9870670305,22.8959078098,0.101763501724,1.853873041413,12.59,0.15,10.0,6,0.0007,0,1,JPL#67,2024-Dec-12,Binary,1.0,0.00080,0.00010,82.9
1764,Cogshall,2025,2,11,213.5473845273,82.9136205047,151.7989944817,2.2339961606,0.115608147092,3.107062204182,11.46,0.15,26.3,M,0.0013,0,0,JPL#71,2024-Dec-12,Binary,1.6,0.00116,0.00013,77.9
1770,Schlesinger,2025,2,11,178.3333676599,39.0795287949,21.8842245641,5.2929500674,0.059574496030,2.457958855174,12.22,0.15,10.9,M,0.0007,0,1,JPL#63,2024-Oct-12,Binary,1.0,0.00057,0.00010,98.9
1798,Watts,2025,2,11,237.4315656032,4.1224175564,44.2273261036,6.1935566238,0.121929252409,2.199294919409,13.02,0.15,6.8,M,0.0007,0,1,JPL#65,2024-Oct-12,Binary,0.6,0.00056,0.00010,85.8
1800,Aguilar,2025,2,11,209.1013377613,214.5171316333,124.1273425171,5.7905710756,0.136122284881,2.356603096788,12.86,0.15,7.4,M,0.0010,0,0,JPL#67,2024-Dec-12,Binary,0.8,0.00087,0.00011,112.2
1803,Zwicky,2025,2,11,339.7413055136,254.3565017282,337.1221900433,21.5264580112,0.249257913887,2.348709355993,12.25,0.15,9.8,M,0.0017,0,1,JPL#65,2024-Dec-12,Binary,0.6,0.00153,0.00013,117.7
1829,Dawson,2025,2,11,195.9146294295,142.4420674256,293.2969790373,6.3325536757,0.120123540876,2.251485518203,12.46,0.15,8.4,M,0.0007,0,0,JPL#65,2024-Oct-12,Binary,0.6,0.00056,0.00009,78.5
1830,Pogson,2025,2,11,266.3611980949,336.0665092083,147.4280646694,3.9566666309,0.056607083491,2.188012032228,12.68,0.15,7.7,M,0.0007,0,1,JPL#64,2024-Dec-12,Binary,1.0,0.00058,0.00012,72.1
1862,Apollo,2025,2,11,317.5322182868,286.0264718322,35.5573515005,6.3522554628,0.559845713210,1.470690985051,16.08,0.09,1.3,M,0.0023,0,1,JPL#537,2025-Jan-04,Apollo + Binary + PHA,0.0,0.00227,0.00028,101.3
